
 Word-based means:
 SFD 189  FFD 189  GD 189  TT 216  PrF 0.58 Pr1 0.50 Pr2 0.00 PrS 0.50 was
 SFD 194  FFD 187  GD 238  TT 290  PrF 0.93 Pr1 0.76 Pr2 0.17 PrS 0.07 complete
 SFD 205  FFD 205  GD 205  TT 209  PrF 0.55 Pr1 0.50 Pr2 0.00 PrS 0.50 it
 SFD 190  FFD 182  GD 262  TT 276  PrF 0.93 Pr1 0.60 Pr2 0.33 PrS 0.07 included
 SFD 198  FFD 198  GD 198  TT 198  PrF 0.24 Pr1 0.24 Pr2 0.00 PrS 0.76 a
 SFD 155  FFD 155  GD 163  TT 184  PrF 0.74 Pr1 0.69 Pr2 0.04 PrS 0.27 maker
 SFD 201  FFD 201  GD 201  TT 189  PrF 0.40 Pr1 0.35 Pr2 0.00 PrS 0.65 of
 SFD 203  FFD 195  GD 235  TT 259  PrF 0.95 Pr1 0.74 Pr2 0.21 PrS 0.05 bonnets
 SFD 176  FFD 176  GD 178  TT 182  PrF 0.59 Pr1 0.57 Pr2 0.01 PrS 0.42 and
 SFD 171  FFD 169  GD 194  TT 194  PrF 0.96 Pr1 0.86 Pr2 0.10 PrS 0.04 barrister
 SFD 204  FFD 201  GD 245  TT 253  PrF 0.89 Pr1 0.79 Pr2 0.07 PrS 0.14 brought
 SFD 198  FFD 198  GD 198  TT 202  PrF 0.60 Pr1 0.57 Pr2 0.00 PrS 0.43 to
 SFD 187  FFD 189  GD 240  TT 247  PrF 0.92 Pr1 0.67 Pr2 0.24 PrS 0.09 arrange
 SFD 190  FFD 188  GD 192  TT 197  PrF 0.71 Pr1 0.68 Pr2 0.02 PrS 0.30 their
 SFD 140  FFD 140  GD 140  TT 149  PrF 0.19 Pr1 0.16 Pr2 0.00 PrS 0.84 a
 SFD 189  FFD 184  GD 208  TT 224  PrF 0.95 Pr1 0.81 Pr2 0.12 PrS 0.07 broker
 SFD 172  FFD 173  GD 174  TT 189  PrF 0.77 Pr1 0.72 Pr2 0.01 PrS 0.27 to
 SFD 189  FFD 192  GD 203  TT 217  PrF 0.81 Pr1 0.73 Pr2 0.06 PrS 0.21 value
 SFD 170  FFD 170  GD 179  TT 184  PrF 0.80 Pr1 0.74 Pr2 0.06 PrS 0.20 their
 SFD Infinity  FFD Infinity  GD Infinity  TT Infinity  PrF 1.00 Pr1 0.70 Pr2 0.30 PrS 0.00 billiard-marker
 SFD Infinity  FFD Infinity  GD Infinity  TT Infinity  PrF 0.97 Pr1 0.13 Pr2 0.02 PrS 0.85 whose
 SFD Infinity  FFD Infinity  GD Infinity  TT Infinity  PrF 0.93 Pr1 0.82 Pr2 0.05 PrS 0.13 skill
 SFD 200  FFD 200  GD 203  TT 206  PrF 0.51 Pr1 0.49 Pr2 0.01 PrS 0.50 was
 SFD 177  FFD 173  GD 187  TT 193  PrF 0.95 Pr1 0.87 Pr2 0.08 PrS 0.05 perhaps
 SFD 184  FFD 183  GD 188  TT 195  PrF 0.71 Pr1 0.67 Pr2 0.02 PrS 0.31 have
 SFD 178  FFD 178  GD 186  TT 188  PrF 0.70 Pr1 0.61 Pr2 0.04 PrS 0.35 won
 SFD 179  FFD 180  GD 186  TT 193  PrF 0.83 Pr1 0.75 Pr2 0.03 PrS 0.22 more
 SFD 183  FFD 182  GD 187  TT 197  PrF 0.75 Pr1 0.68 Pr2 0.03 PrS 0.29 than
 SFD 164  FFD 165  GD 172  TT 171  PrF 0.56 Pr1 0.52 Pr2 0.03 PrS 0.45 his
 SFD 139  FFD 139  GD 139  TT 154  PrF 0.20 Pr1 0.17 Pr2 0.00 PrS 0.83 a
 SFD 185  FFD 179  GD 213  TT 258  PrF 0.92 Pr1 0.82 Pr2 0.10 PrS 0.08 banker
 SFD 210  FFD 199  GD 243  TT 263  PrF 0.93 Pr1 0.72 Pr2 0.21 PrS 0.07 engaged
 SFD 197  FFD 197  GD 197  TT 193  PrF 0.55 Pr1 0.52 Pr2 0.00 PrS 0.48 at
 SFD 175  FFD 172  GD 209  TT 212  PrF 0.93 Pr1 0.69 Pr2 0.23 PrS 0.08 enormous
 SFD 131  FFD 131  GD 135  TT 171  PrF 0.53 Pr1 0.50 Pr2 0.01 PrS 0.49 the
 SFD 211  FFD 208  GD 221  TT 226  PrF 0.68 Pr1 0.62 Pr2 0.05 PrS 0.33 whole
 SFD 180  FFD 180  GD 182  TT 186  PrF 0.59 Pr1 0.55 Pr2 0.01 PrS 0.44 of
 SFD 180  FFD 178  GD 192  TT 200  PrF 0.83 Pr1 0.77 Pr2 0.05 PrS 0.18 their
