
 Word-based means:
 SFD 405  FFD 371  GD 433  TT 567  PrF 1.00 Pr1 0.83 Pr2 0.17 PrS 0.00 ones
 SFD 483  FFD 384  GD 569  TT 657  PrF 1.00 Pr1 0.65 Pr2 0.34 PrS 0.01 fingers
 SFD 409  FFD 393  GD 418  TT 471  PrF 0.94 Pr1 0.84 Pr2 0.09 PrS 0.07 and
 SFD 442  FFD 418  GD 466  TT 525  PrF 1.00 Pr1 0.79 Pr2 0.14 PrS 0.07 with
 SFD 436  FFD 394  GD 477  TT 613  PrF 0.99 Pr1 0.80 Pr2 0.19 PrS 0.01 tears
 SFD 397  FFD 386  GD 404  TT 508  PrF 0.97 Pr1 0.87 Pr2 0.08 PrS 0.05 how
 SFD 369  FFD 379  GD 396  TT 478  PrF 0.93 Pr1 0.80 Pr2 0.05 PrS 0.15 in
 SFD 421  FFD 352  GD 514  TT 632  PrF 1.00 Pr1 0.65 Pr2 0.35 PrS 0.00 earlier
 SFD 418  FFD 404  GD 420  TT 444  PrF 0.98 Pr1 0.89 Pr2 0.06 PrS 0.05 had
 SFD 408  FFD 360  GD 452  TT 570  PrF 1.00 Pr1 0.73 Pr2 0.26 PrS 0.01 taken
 SFD 345  FFD 338  GD 350  TT 430  PrF 0.81 Pr1 0.75 Pr2 0.03 PrS 0.22 no
 SFD 395  FFD 384  GD 530  TT 656  PrF 1.00 Pr1 0.67 Pr2 0.33 PrS 0.00 pains
 SFD 399  FFD 375  GD 432  TT 538  PrF 0.98 Pr1 0.81 Pr2 0.15 PrS 0.04 with
 SFD 401  FFD 391  GD 438  TT 522  PrF 0.97 Pr1 0.80 Pr2 0.12 PrS 0.08 its
 SFD 484  FFD 423  GD 496  TT 553  PrF 1.00 Pr1 0.79 Pr2 0.21 PrS 0.00 thing
 SFD 386  FFD 380  GD 400  TT 508  PrF 0.96 Pr1 0.83 Pr2 0.08 PrS 0.09 can
 SFD 312  FFD 310  GD 342  TT 452  PrF 0.90 Pr1 0.79 Pr2 0.09 PrS 0.12 be
 SFD 360  FFD 362  GD 477  TT 602  PrF 0.98 Pr1 0.66 Pr2 0.30 PrS 0.04 done
 SFD 370  FFD 332  GD 433  TT 543  PrF 0.99 Pr1 0.71 Pr2 0.25 PrS 0.04 said
 SFD 363  FFD 355  GD 390  TT 474  PrF 0.97 Pr1 0.81 Pr2 0.11 PrS 0.08 the
 SFD 470  FFD 395  GD 562  TT 705  PrF 1.00 Pr1 0.64 Pr2 0.36 PrS 0.00 butcher
 SFD 371  FFD 374  GD 380  TT 436  PrF 0.67 Pr1 0.59 Pr2 0.01 PrS 0.40 i
 SFD 461  FFD 416  GD 478  TT 514  PrF 1.00 Pr1 0.84 Pr2 0.16 PrS 0.00 thing
 SFD 424  FFD 390  GD 448  TT 542  PrF 0.99 Pr1 0.80 Pr2 0.16 PrS 0.04 must
 SFD 355  FFD 356  GD 371  TT 437  PrF 0.91 Pr1 0.82 Pr2 0.03 PrS 0.15 be
 SFD 391  FFD 372  GD 481  TT 650  PrF 1.00 Pr1 0.70 Pr2 0.30 PrS 0.00 done
 SFD 365  FFD 372  GD 390  TT 415  PrF 0.79 Pr1 0.60 Pr2 0.03 PrS 0.37 i
 SFD 318  FFD 352  GD 458  TT 592  PrF 0.93 Pr1 0.61 Pr2 0.30 PrS 0.09 am
 SFD 456  FFD 425  GD 467  TT 512  PrF 0.99 Pr1 0.87 Pr2 0.12 PrS 0.01 thing
 SFD 416  FFD 379  GD 454  TT 541  PrF 0.99 Pr1 0.74 Pr2 0.21 PrS 0.05 shall
 SFD 369  FFD 364  GD 400  TT 472  PrF 0.89 Pr1 0.74 Pr2 0.09 PrS 0.17 be
 SFD 373  FFD 357  GD 492  TT 605  PrF 0.99 Pr1 0.68 Pr2 0.29 PrS 0.03 done
 SFD 403  FFD 355  GD 435  TT 611  PrF 1.00 Pr1 0.77 Pr2 0.22 PrS 0.01 bring
 SFD 365  FFD 362  GD 374  TT 492  PrF 0.90 Pr1 0.83 Pr2 0.04 PrS 0.13 me
 SFD 420  FFD 379  GD 492  TT 628  PrF 1.00 Pr1 0.68 Pr2 0.32 PrS 0.00 paper
 SFD 368  FFD 355  GD 381  TT 464  PrF 0.96 Pr1 0.83 Pr2 0.09 PrS 0.08 and
 SFD 451  FFD 428  GD 455  TT 506  PrF 0.99 Pr1 0.88 Pr2 0.09 PrS 0.03 best
 SFD 399  FFD 381  GD 420  TT 557  PrF 1.00 Pr1 0.88 Pr2 0.11 PrS 0.01 there
 SFD 352  FFD 350  GD 365  TT 420  PrF 0.91 Pr1 0.80 Pr2 0.03 PrS 0.17 is
 SFD 376  FFD 353  GD 440  TT 585  PrF 1.00 Pr1 0.75 Pr2 0.24 PrS 0.01 time
 SFD 356  FFD 352  GD 371  TT 434  PrF 0.90 Pr1 0.83 Pr2 0.05 PrS 0.12 to
 SFD 520  FFD 471  GD 538  TT 570  PrF 1.00 Pr1 0.83 Pr2 0.16 PrS 0.01 beaver
 SFD 480  FFD 397  GD 546  TT 615  PrF 0.99 Pr1 0.74 Pr2 0.24 PrS 0.02 brought
 SFD 444  FFD 376  GD 467  TT 533  PrF 0.99 Pr1 0.73 Pr2 0.22 PrS 0.05 paper
 SFD 541  FFD 439  GD 564  TT 649  PrF 0.99 Pr1 0.72 Pr2 0.26 PrS 0.02 portfolio
 SFD 448  FFD 433  GD 453  TT 516  PrF 0.97 Pr1 0.87 Pr2 0.06 PrS 0.07 ink
 SFD 365  FFD 370  GD 382  TT 458  PrF 0.89 Pr1 0.84 Pr2 0.03 PrS 0.13 in
 SFD 526  FFD 420  GD 654  TT 739  PrF 0.99 Pr1 0.58 Pr2 0.41 PrS 0.01 unfailing
 SFD 513  FFD 416  GD 530  TT 554  PrF 1.00 Pr1 0.72 Pr2 0.28 PrS 0.00 strange
 SFD 533  FFD 457  GD 548  TT 601  PrF 0.99 Pr1 0.76 Pr2 0.22 PrS 0.02 creepy
 SFD 531  FFD 415  GD 589  TT 639  PrF 1.00 Pr1 0.67 Pr2 0.33 PrS 0.00 creatures
 SFD 465  FFD 412  GD 475  TT 523  PrF 0.95 Pr1 0.72 Pr2 0.19 PrS 0.09 came
 SFD 387  FFD 381  GD 414  TT 506  PrF 0.98 Pr1 0.85 Pr2 0.09 PrS 0.06 out
 SFD 368  FFD 364  GD 394  TT 503  PrF 0.91 Pr1 0.79 Pr2 0.08 PrS 0.13 of
 SFD 390  FFD 357  GD 495  TT 606  PrF 1.00 Pr1 0.65 Pr2 0.34 PrS 0.01 their
 SFD 518  FFD 445  GD 525  TT 571  PrF 1.00 Pr1 0.78 Pr2 0.22 PrS 0.00 watched
 SFD 415  FFD 390  GD 422  TT 501  PrF 0.98 Pr1 0.83 Pr2 0.11 PrS 0.06 them
 SFD 376  FFD 347  GD 423  TT 551  PrF 0.98 Pr1 0.74 Pr2 0.22 PrS 0.04 with
 SFD 505  FFD 418  GD 566  TT 657  PrF 1.00 Pr1 0.73 Pr2 0.27 PrS 0.00 wondering
 SFD 572  FFD 485  GD 577  TT 647  PrF 1.00 Pr1 0.79 Pr2 0.21 PrS 0.00 engrossed
 SFD 386  FFD 379  GD 408  TT 466  PrF 0.95 Pr1 0.80 Pr2 0.10 PrS 0.10 was
 SFD 330  FFD 320  GD 374  TT 487  PrF 0.97 Pr1 0.78 Pr2 0.16 PrS 0.06 the
 SFD 487  FFD 389  GD 571  TT 683  PrF 1.00 Pr1 0.65 Pr2 0.35 PrS 0.00 butcher
 SFD 389  FFD 389  GD 394  TT 453  PrF 0.86 Pr1 0.77 Pr2 0.02 PrS 0.21 he
 SFD 432  FFD 380  GD 553  TT 715  PrF 1.00 Pr1 0.63 Pr2 0.37 PrS 0.00 heeded
 SFD 411  FFD 378  GD 420  TT 510  PrF 1.00 Pr1 0.82 Pr2 0.15 PrS 0.03 them
 SFD 405  FFD 402  GD 418  TT 439  PrF 0.92 Pr1 0.85 Pr2 0.06 PrS 0.09 he
 SFD 445  FFD 403  GD 478  TT 558  PrF 1.00 Pr1 0.80 Pr2 0.20 PrS 0.00 wrote
 SFD 399  FFD 380  GD 486  TT 575  PrF 0.99 Pr1 0.71 Pr2 0.25 PrS 0.04 with
 SFD 354  FFD 351  GD 373  TT 445  PrF 0.72 Pr1 0.61 Pr2 0.05 PrS 0.34 a
 SFD 375  FFD 383  GD 517  TT 661  PrF 0.98 Pr1 0.59 Pr2 0.37 PrS 0.04 pen
 SFD 364  FFD 366  GD 385  TT 470  PrF 0.94 Pr1 0.81 Pr2 0.04 PrS 0.15 in
 SFD 376  FFD 372  GD 461  TT 573  PrF 1.00 Pr1 0.76 Pr2 0.24 PrS 0.00 each
 SFD 530  FFD 431  GD 551  TT 625  PrF 1.00 Pr1 0.70 Pr2 0.30 PrS 0.00 explained
 SFD 394  FFD 373  GD 399  TT 473  PrF 0.95 Pr1 0.80 Pr2 0.09 PrS 0.11 all
 SFD 370  FFD 353  GD 420  TT 509  PrF 0.99 Pr1 0.75 Pr2 0.19 PrS 0.06 the
