
 Word-based means:
 SFD 138  FFD 138  GD 138  TT 143  PrF 0.39 Pr1 0.38 Pr2 0.00 PrS 0.62 the
 SFD 196  FFD 195  GD 206  TT 216  PrF 0.76 Pr1 0.65 Pr2 0.05 PrS 0.30 place
 SFD 165  FFD 165  GD 165  TT 195  PrF 0.80 Pr1 0.76 Pr2 0.00 PrS 0.24 for
 SFD 201  FFD 201  GD 201  TT 197  PrF 0.39 Pr1 0.31 Pr2 0.00 PrS 0.69 a
 SFD 183  FFD 184  GD 213  TT 237  PrF 0.92 Pr1 0.74 Pr2 0.18 PrS 0.08 snark
 SFD 183  FFD 184  GD 188  TT 188  PrF 0.57 Pr1 0.46 Pr2 0.02 PrS 0.52 the
 SFD 198  FFD 193  GD 213  TT 224  PrF 0.91 Pr1 0.78 Pr2 0.12 PrS 0.10 bellman
 SFD 135  FFD 135  GD 135  TT 145  PrF 0.22 Pr1 0.21 Pr2 0.00 PrS 0.79 he
 SFD 206  FFD 203  GD 207  TT 221  PrF 0.89 Pr1 0.83 Pr2 0.03 PrS 0.14 landed
 SFD 176  FFD 176  GD 178  TT 190  PrF 0.75 Pr1 0.72 Pr2 0.01 PrS 0.27 his
 SFD 182  FFD 179  GD 195  TT 204  PrF 0.80 Pr1 0.70 Pr2 0.07 PrS 0.23 crew
 SFD 157  FFD 157  GD 157  TT 163  PrF 0.61 Pr1 0.60 Pr2 0.00 PrS 0.40 with
 SFD 190  FFD 190  GD 190  TT 191  PrF 0.90 Pr1 0.90 Pr2 0.00 PrS 0.10 each
 SFD 174  FFD 175  GD 179  TT 182  PrF 0.68 Pr1 0.55 Pr2 0.02 PrS 0.43 man
 SFD 202  FFD 202  GD 202  TT 203  PrF 0.45 Pr1 0.39 Pr2 0.00 PrS 0.61 on
 SFD 171  FFD 171  GD 171  TT 192  PrF 0.70 Pr1 0.67 Pr2 0.00 PrS 0.33 the
 SFD 182  FFD 183  GD 188  TT 201  PrF 0.70 Pr1 0.64 Pr2 0.02 PrS 0.34 top
 SFD 175  FFD 175  GD 175  TT 181  PrF 0.48 Pr1 0.47 Pr2 0.00 PrS 0.53 of
 SFD 172  FFD 172  GD 179  TT 180  PrF 0.66 Pr1 0.63 Pr2 0.03 PrS 0.34 the
 SFD 111  FFD 111  GD 111  TT Infinity  PrF 0.07 Pr1 0.03 Pr2 0.00 PrS 0.97 a
 SFD 189  FFD 184  GD Infinity  TT Infinity  PrF 1.00 Pr1 0.89 Pr2 0.10 PrS 0.01 finger
 SFD Infinity  FFD Infinity  GD Infinity  TT Infinity  PrF 0.94 Pr1 0.65 Pr2 0.23 PrS 0.12 entwined
 SFD Infinity  FFD Infinity  GD Infinity  TT Infinity  PrF 0.75 Pr1 0.59 Pr2 0.01 PrS 0.40 in
 SFD Infinity  FFD Infinity  GD Infinity  TT Infinity  PrF 0.50 Pr1 0.50 Pr2 0.00 PrS 0.50 his
 SFD 136  FFD 136  GD 136  TT 146  PrF 0.47 Pr1 0.45 Pr2 0.00 PrS 0.55 the
 SFD 201  FFD 198  GD 210  TT 240  PrF 0.80 Pr1 0.72 Pr2 0.04 PrS 0.24 place
 SFD 166  FFD 166  GD 167  TT 193  PrF 0.68 Pr1 0.65 Pr2 0.01 PrS 0.34 for
 SFD 180  FFD 180  GD 180  TT 194  PrF 0.44 Pr1 0.42 Pr2 0.00 PrS 0.58 a
 SFD 186  FFD 187  GD 207  TT 226  PrF 0.91 Pr1 0.78 Pr2 0.09 PrS 0.13 snark
 SFD 186  FFD 186  GD 186  TT 193  PrF 0.39 Pr1 0.34 Pr2 0.00 PrS 0.66 i
 SFD 176  FFD 177  GD 192  TT 207  PrF 0.79 Pr1 0.72 Pr2 0.07 PrS 0.21 have
 SFD 194  FFD 193  GD 198  TT 206  PrF 0.86 Pr1 0.80 Pr2 0.04 PrS 0.16 said
 SFD 164  FFD 164  GD 164  TT 164  PrF 0.34 Pr1 0.34 Pr2 0.00 PrS 0.66 it
 SFD 152  FFD 153  GD 178  TT 177  PrF 0.81 Pr1 0.75 Pr2 0.05 PrS 0.20 alone
