,file,line,tokens,subject,duration,nSFD,nFFD,nGD,nTT,PrF,Pr1,Pr2,PrS,length,wpm
36592,61,13,,171,1563,,38.61666666666666,38.61666666666666,79.26666666666667,1.25,0.25,1.0,-0.25,0,0
36593,61,15,,171,1189,,69.09166666666667,69.09166666666667,107.76666666666667,1.0,0.5,0.5,0.0,0,0
36594,61,16,,171,4430,,71.47962962962963,71.47962962962963,160.8685185185185,2.25,1.25,1.0,-1.25,0,0
36595,61,17,,171,2455,,56.8,56.8,125.975,1.25,0.25,1.0,-0.25,0,0
36596,61,19,,171,2057,,58.4547619047619,58.4547619047619,83.1452380952381,1.75,1.25,0.5,-0.75,0,0
36597,61,18,,171,1507,,43.05,43.05,66.7,1.25,0.5,0.75,-0.25,0,0
36598,61,20,,171,2243,,44.012179487179495,44.012179487179495,65.0121794871795,1.25,1.0,0.25,-0.25,0,0
36599,61,21,,171,1331,,44.18666666666667,44.18666666666667,73.15333333333334,1.25,0.5,0.75,-0.25,0,0
36600,61,23,,171,687,,62.666666666666664,62.666666666666664,83.58333333333333,0.5,0.25,0.25,0.5,0,0
36601,61,22,,171,1424,,39.84375,39.84375,65.18125,1.0,0.25,0.75,0.0,0,0
36602,61,25,,171,1073,57.31666666666666,57.31666666666666,57.31666666666666,57.31666666666666,1.25,1.25,0.0,-0.25,0,0
36603,61,24,,171,2947,,76.26904761904761,76.26904761904761,117.78095238095239,1.75,1.0,0.75,-0.75,0,0
36604,62,1,,171,998,,289.875,289.875,324.625,0.5,0.25,0.25,0.5,0,0
36605,62,2,,171,2895,,31.64126984126984,31.64126984126984,100.5873015873016,1.25,0.25,1.0,-0.25,0,0
36606,62,3,,171,5605,,83.85000000000001,83.85000000000001,236.37777777777777,1.5,0.0,1.5,-0.5,0,0
36607,62,4,,171,6809,,48.41555555555556,48.41555555555556,173.48944444444447,2.5,0.25,2.25,-1.5,0,0
36608,62,5,,171,5339,,81.65555555555555,81.65555555555555,232.47222222222226,1.5,0.0,1.5,-0.5,0,0
36609,62,6,,171,4063,,38.169444444444444,38.169444444444444,104.66230158730158,2.25,0.75,1.5,-1.25,0,0
36610,62,7,,171,3020,,57.1904761904762,57.1904761904762,108.37777777777778,1.5,0.5,1.0,-0.5,0,0
36611,62,8,,171,2347,,43.56944444444445,43.56944444444445,80.15972222222221,1.5,0.5,1.0,-0.5,0,0
36612,62,10,,171,2279,,66.2047619047619,66.2047619047619,90.48095238095239,1.75,1.0,0.75,-0.75,0,0
36613,62,11,,171,1852,,43.79761904761905,43.79761904761905,80.49428571428571,1.25,0.25,1.0,-0.25,0,0
36614,62,12,,171,925,,38.66666666666667,38.66666666666667,97.70833333333334,0.5,0.0,0.5,0.5,0,0
36615,62,13,,171,979,,43.73412698412699,43.73412698412699,71.8313492063492,0.75,0.25,0.5,0.25,0,0
36616,62,14,,171,2722,,86.45416666666668,86.45416666666668,95.37083333333334,2.0,1.75,0.25,-1.0,0,0
36617,62,15,,171,1425,,60.513888888888886,60.513888888888886,80.15277777777777,1.0,0.5,0.5,0.0,0,0
36618,62,16,,171,1884,,57.78666666666667,57.78666666666667,90.18666666666668,1.25,0.75,0.5,-0.25,0,0
36619,62,17,,171,1746,,52.875,52.875,94.16666666666666,1.0,0.25,0.75,0.0,0,0
